ID,LogP,MolLogP,qed,PEOE_VSA6,TPSA,FP_754,EState_VSA5,MolWt,SlogP_VSA7,fr_Al_COO,BertzCT,BalabanJ,FpDensityMorgan1,Ipc,Kappa3,SMR_VSA1,PEOE_VSA1,PEOE_VSA7,NumHeteroatoms,AvgIpc,EState_VSA4,VSA_EState2,FP_514,FP_626,SlogP_VSA3,FP_735,SlogP_VSA2,SMR_VSA7,PEOE_VSA2,PEOE_VSA12,SMR_VSA5,FP_820,VSA_EState3,EState_VSA8,SMR_VSA10,FP_484,SlogP_VSA5,SlogP_VSA8,EState_VSA1,VSA_EState8,EState_VSA10,FP_592,VSA_EState7,FP_160,MinEStateIndex,EState_VSA3,NHOHCount,FP_414,FP_347,FP_1017,SlogP_VSA1,FP_28,FP_151,FractionCSP3,VSA_EState5,FP_541,FP_161,fr_unbrch_alkane,EState_VSA7,FP_168,SMR_VSA3,SMR_VSA4,FP_786,FP_21,FP_563
0,3.093,-0.4292093167732007,0.2297858179675016,0.32399522088977,0.2088279030910043,0.0,-0.7039905922682501,-0.7089217911798671,0.0,0.0,-0.0758955250813716,0.1095267205296276,0.0675168792198049,-0.3470402021868744,-1.0856244469815255,-0.6239346854961011,-2.477685295832028,-1.418656226967161,-0.25,0.3116531465677155,-0.0424690753680142,-1.6793198761408703,0.0,0.0,-0.7020097358068862,0.0,-0.5791075313805832,0.2407151849783695,0.2719545847245814,0.0,-1.7465153364995465,0.0,0.3987309394516423,0.1536267937450707,-2.061443426655168,0.0,-1.866884820423462,2.5061281626813723,-0.7382844369857693,-0.6266015455702068,-1.9357444506813328,0.0,-0.3608607122798452,0.0,5.0569305547788925,-0.0370122047228051,0.3690702464285425,0.0,0.0,0.0,0.0111114684954903,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,0.0,0.4256999134536518,0.0,0.2718372822209929,0.0,0.0,0.0,0.0
1,5.245,0.7750064308837735,1.2738626663656565,0.5959258988888081,-0.7317983484894117,0.0,-0.7039905922682501,0.3248626834500587,0.0,0.0,0.1370794912868335,-0.6590117831310293,-0.6301575393848465,0.1182721903315943,0.3724145687629633,-0.5953223404396122,-0.1030239015193118,0.3442520782726819,-0.5,-0.0474971124234522,0.2810657665363418,0.0254029215210165,0.0,0.0,0.2979902641931137,0.0,-1.062608239843854,1.5072678196015334,0.0,1.0062776854781692,-0.4321947837746588,0.0,-0.215758653740155,0.2724242118329706,0.6142190320781575,0.0,-0.5480391937323063,0.0,-0.7382844369857693,-0.6266015455702068,-0.056105847149231,0.0,-0.0955537223690732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6095238095238096,0.0,0.0,0.0,0.0,0.6032849663224295,0.0,-0.7411078648673044,0.0,0.0,0.0,0.0
2,4.294,0.134441872090935,-0.3148850684046849,-0.2093809682030046,-4.758791965161477,0.0,0.1774278646007785,-1.3438879009356677,0.0,0.0,-1.615257890245661,0.3194906211463612,1.3631979423427287,-0.9558261681182758,-1.084200051951527,-2.3301352854049933,-2.477685295832028,-0.1931016639847014,-1.0,-0.3975956477359368,-0.6933137764891898,-1.0730567604341257,0.0,0.0,0.0988431527112548,0.0,-2.956319261488539,-0.3495996938832844,-0.7414007471613159,0.0,0.0,0.0,-0.3163402971515505,0.3201946365400111,-0.0550856748673252,0.0,-0.0798074582056206,0.0,-0.7382844369857693,0.1026670251362203,-1.9357444506813328,0.0,0.253380249217318,0.0,22.041809804609453,-0.7196037394951063,-0.6309297535714575,0.0,0.0,0.0,-0.7671221050738479,0.0,0.0,0.0888888888888888,0.0,0.0,0.0,0.0,0.1370896357540575,0.0,-0.7411078648673044,0.0,0.0,0.0,0.0
3,2.254,-0.6695884719734801,-0.2061200278785951,-0.2785623365821442,0.4078984275310979,0.0,-0.7039905922682501,0.0031726209106683,0.0,0.0,0.0754626891204447,-0.1855640256419969,0.5907726931732935,0.0429790506156123,-0.318148658326349,-0.6051995697072038,1.0703300422233142,-1.1425210806363726,0.5,0.6910777752427472,-0.6933137764891898,0.3092565512145794,0.0,0.0,-0.0039969214714295,0.0,0.6910225189205622,-0.5420434209883138,-0.7414007471613159,1.0055659901041325,0.2002209777807703,0.0,-0.8459018953004354,0.3272533585541853,0.4873523618760215,0.0,-0.4160181593289921,0.0,0.2511204539708098,0.016800806176138,-1.9357444506813328,0.0,0.8220143999796179,0.0,0.0,0.3250760603857381,0.3690702464285425,0.0,0.0,0.0,0.0193985112147251,0.0,0.0,0.3851851851851851,2.316279642680279,0.0,0.0,0.0,-0.6409358519606783,0.0,0.2588921351326956,1.5248119584185165,0.0,0.0,0.0
4,1.939,-0.4895722612928743,-0.2690360898760438,-0.1700338519524538,-1.144737966187742,0.0,-0.7039905922682501,-1.7657095739683946,0.0,0.0,-3.4968217447745653,0.1547794509263465,0.7651912978244564,-1.2739165642075256,0.4606185513878515,-0.5435394340129021,-0.1466372814306657,-0.5725741113664586,-1.0,-1.830514300591788,0.0,-1.6793198761408703,0.0,0.0,-0.7020097358068862,0.0,-0.4647771508292846,-1.333777846507622,-0.7414007471613159,0.0,0.2582665315561145,0.0,0.1917353210162706,0.1282603853929489,-2.061443426655168,0.0,0.2760662087009692,0.0,-0.7382844369857693,0.4522995908843842,-1.9357444506813328,0.0,0.1581417219311748,0.0,8.095813931237679,0.2155032172878215,0.0,0.0,0.0,0.0,-0.7671221050738479,0.0,0.0,1.8666666666666665,1.596959967770016,0.0,0.0,0.0,-0.6409358519606783,0.0,-0.7411078648673044,1.064231225584226,0.0,0.0,0.0
5,3.98,0.7833544460460989,-1.6992976882239077,0.9429664011501986,1.202239874483061,0.0,0.1828936143821636,1.9529539519072787,0.0,0.0,1.9085934026227376,-1.6319188736017467,-1.0435942318913067,4.284867145808303,1.4443006047193971,1.0308775346948855,1.4582769775036462,1.104941315428885,1.75,2.1631193657198566,0.6093179887170368,1.2249735780071909,0.0,0.0,0.767579977956265,0.0,1.4868872495819512,3.405424846334301,0.7571876209357302,1.525470936432009,1.202862342249971,0.0,0.5333431322916619,0.1685957991801702,1.0155416696015254,0.0,1.020491914203595,2.4767841625272817,0.6083671896392479,0.0210375160651812,1.7058524499874566,0.0,0.8546362815322726,0.0,0.0,0.3303846667466646,0.6309297535714575,0.0,0.0,0.6931471805599453,0.2541595272898941,0.0,0.0,0.2158730158730157,0.0,0.0,0.0,0.0,0.7381035353058197,0.0,0.6192869246383063,1.3631732098676403,0.0,0.0,0.0
6,3.838,0.2103991030737198,0.1555004376858876,-0.2507312029111367,-3.050111085846511,0.0,0.4183087203196786,-0.5217812261183883,0.0,0.0,-0.5875816938150412,-0.4160869343139579,0.7651912978244564,-0.3428783788375136,-0.6610022002557485,-2.3301352854049933,-0.190983114696415,0.3674021829858356,-0.75,0.3994063492924934,0.0057293975302579,-0.6297980284080086,0.0,0.0,-0.7020097358068862,0.0,0.2376766156331296,-0.0825205883235313,-0.7414007471613159,0.0,-0.4321947837746588,0.0,-0.3107666322826394,0.449298088885983,0.2425778712473332,0.0,-0.1079015660194815,1.882986252101781,-0.7382844369857693,0.1280529385741234,-1.9357444506813328,0.0,0.834203097435167,0.0,21.06536575785714,-0.7196037394951063,-0.6309297535714575,0.0,0.0,0.0,-0.7671221050738479,0.0,0.0,0.2666666666666668,0.0,0.0,0.0,0.0,0.1370896357540575,0.0,0.0,0.0,0.0,0.0,0.0
7,2.924,-0.5454165999310799,0.2237088741502509,-1.9547119248343097,0.673368913827185,0.0,-0.7039905922682501,0.1337162946542038,0.0,0.0,0.5463969691297451,-0.106459451021874,-0.3363998894460456,0.3060115466220608,0.0209478977890987,-0.0108151309772899,1.4099443197937516,-0.1740208262104954,0.25,0.1017634274505277,0.4005884942630101,-0.4383641804516437,0.0,0.0,0.0988431527112548,0.0,0.20517115613203,0.7158469842053087,0.3007759510791052,0.0,-0.4321947837746588,0.0,0.4539088057986888,0.0202880642925703,-2.061443426655168,0.0,-0.1177202659744447,0.0,-0.7382844369857693,-0.6266015455702068,-1.9357444506813328,0.0,0.5502116876265224,0.0,2.7783703063021203,0.0,0.8340437671464698,0.0,0.0,0.0,0.5113027552788236,0.0,0.0,-0.1846153846153847,2.913825546622796,0.0,0.0,0.0,0.2740415965554827,0.0,0.2588921351326956,0.0,0.0,0.0,0.0
8,6.216,1.0255924906691518,-0.0260792814834781,0.6125886307578583,-4.758791965161477,0.0,-0.7039905922682501,-0.3556828148026584,2.4020019766877887,0.0,-0.1828947080189425,0.543166710468096,-1.560390097524382,-0.4203418397143518,-0.9664986563946982,-2.3301352854049933,-2.477685295832028,-0.5896063072793573,-0.75,-0.4276485931423271,0.3730459032406408,-1.6793198761408703,0.0,0.0,-0.7020097358068862,0.0,-2.956319261488539,0.7077032466634269,-0.7414007471613159,0.0,-1.7465153364995465,0.0,-0.1435757800670547,-0.8335664551971209,0.7769984578416461,0.0,-1.866884820423462,2.465761922487166,-0.7382844369857693,-0.6266015455702068,-1.9357444506813328,0.0,-0.3608607122798452,0.0,15.769144582405142,-0.7196037394951063,-0.6309297535714575,0.0,0.0,0.0,-0.7671221050738479,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,0.0,0.4805044719375308,0.0,-0.7411078648673044,0.0,0.0,0.0,0.0
9,5.938,1.0255924906691514,-0.0260792814834785,0.5241304641142521,-4.758791965161477,0.0,-0.7039905922682501,-0.3556828148026584,2.4020019766877887,0.0,-0.0582480829018457,0.4588281464433079,-0.8627156789197304,-0.4356395765696679,-0.8828076678048653,-2.3301352854049933,-2.477685295832028,0.09659689236953,-0.75,-0.5315284411126349,0.3730459032406408,-1.6793198761408703,0.0,0.0,-0.7020097358068862,0.0,-2.956319261488539,0.7077032466634269,-0.7414007471613159,0.0,-1.7465153364995465,0.0,-0.1349388891523842,-0.8335664551971209,0.7769984578416461,0.0,-1.866884820423462,2.465761922487166,-0.7382844369857693,-0.6266015455702068,-1.9357444506813328,0.0,-0.3608607122798452,0.0,15.324079172875049,-0.7196037394951063,-0.6309297535714575,0.0,0.0,0.0,-0.7671221050738479,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,0.0,0.4805044719375308,0.0,-0.7411078648673044,0.0,0.0,0.0,0.0
